sector,scoala,total,participanti
3,"Școala Gimnazială Nr. 84 București",127,126
3,"Școala Gimnazială Nr. 86 București",44,44
3,"Școala Gimnazială Nr. 88 „Shanghai” București",102,99
3,"Școala Gimnazială Nr. 92 București",52,51
3,"Școala Gimnazială Nr. 95 București",0,0
3,"Școala Gimnaziala Nr. 112 București",77,62
3,"Școala Gimnazială Nr. 116 București",45,45
3,"Școala Gimnazială Nr. 149 București",136,112
3,"Școala Gimnazială Nr. 195 București",398,349
3,"Școala Gimnazială Nr. 200 București",47,43
4,"Colegiul Național „Mihai Eminescu” București",16,11
4,"Colegiul Național de Arte „Dinu Lipatti” București",0,0
4,"Colegiul Tehnic „Petru Rareș” București",0,0
4,"Liceul de Coregrafie „Floria Capsali” București",0,0
4,"Școala Gimnazială „Avram Iancu” București",91,84
4,"Școala Gimnazială „Emil Racoviță” București",36,13
4,"Școala Gimnazială „General Eremia Grigorescu” București",73,66
4,"Școala Gimnazială „George Bacovia” București",57,53
4,"Școala Gimnazială „George Topârceanu” București",47,42
4,"Școala Gimnazială „Ienăchiță Văcărescu” București",0,0
4,"Școala Gimnazială „Ionel Teodoreanu” București",84,70
4,"Școala Gimnazială Nr. 79 București",141,120
4,"Școala Gimnazială Nr. 96 București",36,35
4,"Școala Gimnazială Nr. 97 București",65,38
4,"Școala Gimnazială Nr. 99 București",67,0
4,"Școala Gimnazială Nr. 108 București",19,17
4,"Școala Gimnazială Nr. 109 „Șerban Vodă” București",48,0
4,"Școala Gimnazială Nr. 113 București",101,98
4,"Școala Gimnazială Nr. 119 București",86,86
4,"Școala Gimnazială Nr. 120 „Mărțișor” București",35,30
4,"Școala Gimnazială Nr. 129 București",41,26
4,"Școala Gimnazială Nr. 133 București",60,19
4,"Școala Gimnazială Nr. 165 București",45,32
4,"Școala Gimnazială Nr. 189 București",81,38
4,"Școala Gimnazială Nr. 190 București",252,197
4,"Școala Gimnazială Nr. 194 București",184,181
4,"Școala Gimnazială Nr. 308 București",49,45
5,"Colegiul Național „Gheorghe Lazăr” București",31,30
5,"Colegiul Economic „Viilor” București",0,0
5,"Liceul Teoretic „Dimitrie Bolintineanu” București",110,100
5,"Liceul Teoretic „Ion Barbu” București",81,79
5,"Liceul Teoretic „Ștefan Odobleja” București",107,72
5,"Școala Gimnazială „G. Tocilescu” București",8,7
5,"Școala Gimnazială „George Călinescu” București",24,9
5,"Școala Gimnazială „I. G. Duca” București",67,58
5,"Școala Gimnazială „Ion I. C. Brătianu” București",39,20
5,"Școala Gimnazială „Luceafărul” București",77,68
5,"Școala Gimnazială „Mircea Sântimbreanu” București",83,83
5,"Școala Gimnazială „Petrache Poenaru” București",31,20
5,"Școala Gimnazială „Principesa Margareta” București",61,45
5,"Școala Gimnazială Nr. 2 București",0,0
5,"Școala Gimnazială Nr. 103 București",26,24
5,"Școala Gimnazială Nr. 115 București",24,21
5,"Școala Gimnazială Nr. 124 București",74,40
5,"Școala Gimnazială Nr. 125 București",0,0
5,"Școala Gimnazială Nr. 126 București",24,23
5,"Școala Gimnazială Nr. 127 București",53,21
5,"Școala Gimnazială Nr. 128 București",33,32
5,"Școala Gimnazială Nr. 131 București",112,99
5,"Școala Gimnazială Nr. 134 București",32,23
5,"Școala Gimnazială Nr. 135 București",23,19
5,"Școala Gimnazială Nr. 136 București",30,21
5,"Școala Gimnazială Nr. 143 București",29,28
5,"Școala Gimnazială Nr. 144 București",16,15
5,"Școala Gimnazială Nr. 150 București",98,43
5,"Școala Gimnazială Nr. 188 București",57,53
5,"Școala Gimnazială Nr. 280 București",180,143
6,"Colegiul Național „Elena Cuza” București",92,57
6,"Colegiul Național „Grigore Moisil” București",58,57
6,"Colegiul Economic „Costin C. Kirițescu” București",23,21
6,"Liceul cu Program Sportiv „Mircea Eliade” București",38,35
6,"Liceul Tehnologic „Sf. Antim Ivireanu” București",74,40
6,"Liceul Teoretic „Eugen Lovinescu” București",74,72
6,"Liceul Teoretic „Marin Preda” București",108,98
6,"Școala Gimnazială „Adrian Păunescu” București",72,63
6,"Școala Gimnazială „Constantin Brâncuși” București",68,42
6,"Școala Gimnazială „Ion Dumitriu” București",40,29
6,"Școala Gimnazială „Regele Mihai I” București",65,61
6,"Școala Gimnazială „Sfânta Treime” București",80,64
6,"Școala Gimnazială „Sfântul Calinic De La Cernica” București",58,41
6,"Școala Gimnazială „Sfinții Constantin și Elena” București",74,68
6,"Școala Gimnazială Nr. 59 București",104,93
6,"Școala Gimnazială Nr. 117 București",182,182
6,"Școala Gimnazială Nr. 142 București",52,46
6,"Școala Gimnazială Nr. 153 București",16,12
6,"Școala Gimnazială Nr. 156 București",107,104
6,"Școala Gimnazială Nr. 161 București",11,8
6,"Școala Gimnazială Nr. 163 București",70,70
6,"Școala Gimnazială Nr. 164 București",0,0
6,"Școala Gimnazială Nr. 167 București",33,20
6,"Școala Gimnazială Nr. 168 București",18,10
6,"Școala Gimnazială Nr. 169 București",117,103
6,"Școala Gimnazială „Sf. Andrei” București",175,127
6,"Școala Gimnazială Nr. 193 București",98,87
6,"Școala Gimnazială Nr. 197 București",142,140
6,"Școala Gimnazială Nr. 198 București",185,168
6,"Școala Gimnazială Nr. 206 București",70,62
6,"Școala Gimnazială Nr. 279 București",79,68
6,"Școala Gimnazială Nr. 309 București",73,44
6,"Școala Gimnazială Nr. 311 București",45,37

